candidate_id,split,expected_label,rms_mean,rms_std,zero_crossing_rate_mean,zero_crossing_rate_std,spectral_centroid_hz_mean,spectral_centroid_hz_std,spectral_bandwidth_hz_mean,spectral_bandwidth_hz_std,spectral_flatness_mean,spectral_flatness_std
human:fma:121452,train,human,0.31581297371933253,0.09379354516772817,0.061747233072916664,0.04816781551021666,1839.8293951339256,884.5861111231038,2470.2162580493628,736.7224356073759,0.012996506704234051,0.022131644207642114
human:fma:39607,train,human,0.1791468561442669,0.10065093955080223,0.09169201973157051,0.07510382447480914,2358.5269249944877,1310.432024674928,2578.904440998492,943.109295030446,0.040326305154017805,0.07543691151776902
human:fma:26652,train,human,0.20436339167629547,0.09462148902972231,0.051286224626068376,0.03534627225564646,1659.8391027588452,800.1234307187309,2298.8171666267153,644.2027157179223,0.014862297753665599,0.025233401176501184
human:fma:123506,train,human,0.24591121293921456,0.06918993924323041,0.04650096404246795,0.021838678178654605,738.3710451535784,209.9108554457667,982.7022733832872,279.52313548057026,3.147800439263564e-05,3.361007010190522e-05
human:fma:100535,train,human,0.14000910694816399,0.09817117379337492,0.10145712306356838,0.06120227470106786,2812.7025531505005,965.6929275798174,3176.3802611178717,579.538264024389,0.04225674661275908,0.03999552658172516
human:fma:143061,train,human,0.055420951172295854,0.02627170681369495,0.06199189536591881,0.03777722896683137,1619.369908543716,915.9673146376297,1833.7785404623814,824.2219987916346,0.011979020318892912,0.034581010280763866
human:fma:148443,train,human,0.23334063331442667,0.15477025370362837,0.11059518145699787,0.08455587945376931,2933.9124079390126,1188.140515759842,2987.6343441957206,687.768013337881,0.0587577175378838,0.07275851056377886
human:fma:32435,train,human,0.08434642330832648,0.011008473487503537,0.12203170906784189,0.055928262084309344,3352.585924096954,601.953105860636,3669.3591740354714,251.69277556973458,0.06476331838300742,0.0361426922647915
human:fma:93727,train,human,0.27161218676277643,0.10469154944917004,0.038384331597222224,0.01570764182175808,1304.1473468351,511.79461501130095,1943.4100808164521,536.6786107985604,0.005408628704585862,0.009354045727104257
human:fma:115339,train,human,0.15684263418864408,0.05485510453886033,0.13579696264022434,0.08358427128740645,2682.239263411014,1375.9228919624948,2361.3707210084103,1179.7761384405687,0.08994367978107645,0.08886654718108067
human:fma:15771,train,human,0.07275855399234013,0.0421851159154532,0.06910796858306623,0.059101681927290504,2689.685963834749,739.6831637361097,3027.524293061763,218.69856384814213,0.044697996025007944,0.06879129860261989
human:fma:68898,train,human,0.24206386002509445,0.07892982225829004,0.06132416032318376,0.05166511221695774,2087.6514765527663,1205.642334912528,2556.5468285207608,947.0796899304448,0.02419173584661416,0.043396609180056084
human:fma:125160,train,human,0.21341039478898982,0.08874365245440782,0.06476821247329059,0.031454154242920626,2265.0227654969003,625.4221260945699,2767.322843040869,421.1342562774478,0.0220742136528215,0.025248721195596208
human:fma:97542,train,human,0.13096786559423362,0.06259446734082494,0.08824848924946582,0.026981563371732898,1626.1527294989326,442.3724781363959,1720.8786715382616,503.76182432394467,0.0074370191793010805,0.015183459762802571
human:fma:116344,train,human,0.23819115712193772,0.083430142697099,0.1500468457865919,0.11476070295818161,3499.0339100061783,1259.075452520632,3488.6867912083144,514.1902157905967,0.060288059774613184,0.06245737020746194
