candidate_id,expected_label,generator,variant,rms_mean,rms_std,zero_crossing_rate_mean,zero_crossing_rate_std,spectral_centroid_hz_mean,spectral_centroid_hz_std,spectral_bandwidth_hz_mean,spectral_bandwidth_hz_std,spectral_flatness_mean,spectral_flatness_std
human:fma:114396,human,,baseline,0.0553294176743105,0.009253271810687896,0.04279727649892934,0.014245624372811102,789.8563203877649,92.20639701670144,887.6724315081672,62.063621912393124,5.892914311003254e-05,3.767755521577705e-05
human:fma:114396,human,,channel_mean_removed,0.05532936456714221,0.009253282779530343,0.04279936763918629,0.014262340012854442,789.930553729651,92.21139522652706,887.6814569747673,62.06554125885856,5.886267491765108e-05,3.762940563421599e-05
ai:Echoes/TTA/acestep/Breathe_New_Life_Scott_Holmes_acestep_TTA_001.mp3,ai,acestep,baseline,0.01514935569899732,0.009119218734815837,0.06981480861884368,0.04221301742422166,1256.0582159750802,811.0320701885332,1468.4955262899537,723.4033498347941,0.008244606084227673,0.04137823426604847
ai:Echoes/TTA/acestep/Breathe_New_Life_Scott_Holmes_acestep_TTA_001.mp3,ai,acestep,channel_mean_removed,0.015220746059325142,0.00902558871833477,0.057688286268736615,0.023318680154885484,1050.2777975963568,253.19115148241,1415.2286840425031,606.5220802334608,0.00020976343452918075,0.00029076088526958744
ai:Echoes/TTA/audioldm/Breathe_New_Life_Scott_Holmes_audioldm_TTA_001.mp3,ai,audioldm,baseline,0.032901272259940176,0.006721595260631116,0.10638257829229122,0.02118477730102757,1882.6438772615859,171.1482592224938,1741.861710531488,128.18329280143297,0.00019326848275323145,7.57555383841271e-05
ai:Echoes/TTA/audioldm/Breathe_New_Life_Scott_Holmes_audioldm_TTA_001.mp3,ai,audioldm,channel_mean_removed,0.032898864842634816,0.006729679919234137,0.10675271011777301,0.02099901035016478,1900.2550393788767,157.61669761162065,1745.8909593409494,142.80686483087598,0.0002220332247555521,0.0002980527944650328
ai:Echoes/TTA/musicgen/Breathe_New_Life_Scott_Holmes_musicgen_TTA_001.wav,ai,musicgen,baseline,0.20556276634653609,0.06614703631882307,0.19311052930942185,0.06848035507475801,3109.4966290901966,744.3283375708705,2133.32038904196,652.2763578021518,0.03790735147910997,0.047138361541510625
ai:Echoes/TTA/musicgen/Breathe_New_Life_Scott_Holmes_musicgen_TTA_001.wav,ai,musicgen,channel_mean_removed,0.20556346390556207,0.0661467138543509,0.19310007360813705,0.06851956395221517,3108.7268474820235,744.2902579881571,2133.707518155994,652.0210875232372,0.03810844169676696,0.0474016639487872
human:fma:116878,human,,baseline,0.26891084824461425,0.044383787848786216,0.06936312232334046,0.05076300228909152,1340.9094156474553,910.0021717019114,1589.8762790565136,846.0253721763271,0.01203572187263886,0.028868615780859336
human:fma:116878,human,,channel_mean_removed,0.26891084500308426,0.044383799888827034,0.0693359375,0.050782858543952356,1340.90944841776,910.0019916897425,1589.8762502454922,846.0251632099287,0.012035961985732431,0.028869181747625535
ai:Echoes/TTA/acestep/Tapes_Gumbel_acestep_TTA_001.mp3,ai,acestep,baseline,0.07553845235329847,0.042520894763615695,0.10199118375267666,0.05630662634481177,2501.221712951834,593.8430862626115,2842.0381710043953,232.2285823478203,0.005891758206376504,0.02776103116534157
ai:Echoes/TTA/acestep/Tapes_Gumbel_acestep_TTA_001.mp3,ai,acestep,channel_mean_removed,0.07554345131685791,0.04250897941427096,0.09725265993040685,0.05524854358779799,2448.6777397816822,516.3528467562005,2835.2789961461135,213.55459576398226,0.0019966141136648348,0.002639687967016981
ai:Echoes/TTA/audioldm/Tapes_Gumbel_audioldm_TTA_001.mp3,ai,audioldm,baseline,0.10240429096330614,0.03444050937495186,0.04822378546573876,0.0166418084019084,1220.2689581740387,187.34064090845254,1501.830990645952,161.84773907924748,0.00011723693979184394,7.990513243653056e-05
ai:Echoes/TTA/audioldm/Tapes_Gumbel_audioldm_TTA_001.mp3,ai,audioldm,channel_mean_removed,0.10240166270106822,0.03444779125658689,0.0521279443254818,0.02825934834769664,1252.7775591439595,317.5884095713595,1504.040071772431,170.82813828043678,0.0007985103112460876,0.00527636046404567
ai:Echoes/TTA/musicgen/Tapes_Gumbel_musicgen_TTA_001.wav,ai,musicgen,baseline,0.14836020463209287,0.10972835933243963,0.3170900528640257,0.1593977930160612,4687.65451580518,1452.936241839601,2712.4867701888857,415.5145527519072,0.06771684664985204,0.05178093791579872
ai:Echoes/TTA/musicgen/Tapes_Gumbel_musicgen_TTA_001.wav,ai,musicgen,channel_mean_removed,0.14836080034645444,0.10972764046419838,0.3171569693522484,0.15938979197538078,4685.326533754933,1451.097611474966,2714.134577899357,416.7230205117165,0.06792527956325652,0.051839834339981405
human:fma:91622,human,,baseline,0.508414238696934,0.0617501041384084,0.01965253613490364,0.02493062150190991,1934.0299767757476,613.3001699681258,2778.243066363064,353.90697048396,0.007736153147144062,0.011025243035189583
human:fma:91622,human,,channel_mean_removed,0.2580944460186198,0.05665254080548075,0.06446985412205568,0.04106458479588518,2424.4822153967957,520.4223696480957,2946.9042176055677,276.32430331045697,0.027054923884519782,0.02303136617032708
