candidate_id,expected_label,label_basis,label_standard,reference,reference_track_id,artist_id,reference_group_id,artist_group_id,group_id,grouping_status,development_only,split,eligibility_status,review_reasons,reference_metadata_status,reference_review_reasons,reference_provenance_status,reference_source_url,reference_license_url,source_url,license_url,generator,generation_type,echoes_genre,echoes_revision,archive,archive_url,archive_member,file_bytes,compressed_bytes,file_path
human:fma:114396,human,Historical FMA reference label,dataset_labels_v1,Breathe New Life - Scott Holmes,114396,19498,fma:114396,fma_artist:19498,fma_artist:19498,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Scott_Holmes/Colossal_Stillness/Breathe_New_Life,http://creativecommons.org/licenses/by/4.0/,http://freemusicarchive.org/music/Scott_Holmes/Colossal_Stillness/Breathe_New_Life,http://creativecommons.org/licenses/by/4.0/,,,,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,fma_small,https://os.unil.cloud.switch.ch/fma/fma_small.zip,fma_small/114/114396.mp3,961116,941277,data/audio_batch/b022f9d91befa3885ec9a1bd0c324b2a4c9fb64547de9caaa5ddc373ccb12221.mp3
ai:Echoes/TTA/acestep/Breathe_New_Life_Scott_Holmes_acestep_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,Breathe New Life - Scott Holmes,114396,19498,fma:114396,fma_artist:19498,fma_artist:19498,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Scott_Holmes/Colossal_Stillness/Breathe_New_Life,http://creativecommons.org/licenses/by/4.0/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,acestep,TTA,Rock,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/acestep/Breathe_New_Life_Scott_Holmes_acestep_TTA_001.mp3,1551021,1540332,data/audio_batch/d6454914fa51f1b35b0f424e904df77f3decbcd476828fa5f9d9a8c6b5202914.mp3
ai:Echoes/TTA/audioldm/Breathe_New_Life_Scott_Holmes_audioldm_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,Breathe New Life - Scott Holmes,114396,19498,fma:114396,fma_artist:19498,fma_artist:19498,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Scott_Holmes/Colossal_Stillness/Breathe_New_Life,http://creativecommons.org/licenses/by/4.0/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,audioldm,TTA,Rock,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/audioldm/Breathe_New_Life_Scott_Holmes_audioldm_TTA_001.mp3,493677,404326,data/audio_batch/7c0f156ae4c3bc969808e4eda0b1d1203c12348b266d0a463e8d4a92c9bde963.mp3
ai:Echoes/TTA/musicgen/Breathe_New_Life_Scott_Holmes_musicgen_TTA_001.wav,ai,Echoes TTA dataset label,dataset_labels_v1,Breathe New Life - Scott Holmes,114396,19498,fma:114396,fma_artist:19498,fma_artist:19498,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Scott_Holmes/Colossal_Stillness/Breathe_New_Life,http://creativecommons.org/licenses/by/4.0/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,musicgen,TTA,Rock,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/musicgen/Breathe_New_Life_Scott_Holmes_musicgen_TTA_001.wav,1916204,1791789,data/audio_batch/e72a3a0c99c41537e15c17b072aa042b4aad57ccb30bdda22ac4c3d79547b7df.wav
human:fma:116878,human,Historical FMA reference label,dataset_labels_v1,Tapes - Gumbel,116878,17198,fma:116878,fma_artist:17198,fma_artist:17198,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Gumbel/8-bit_Love_Machine/Gumbel_-_8-bit_Love_Machine_EP_-_02_Tapes,http://creativecommons.org/licenses/by/4.0/,http://freemusicarchive.org/music/Gumbel/8-bit_Love_Machine/Gumbel_-_8-bit_Love_Machine_EP_-_02_Tapes,http://creativecommons.org/licenses/by/4.0/,,,,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,fma_small,https://os.unil.cloud.switch.ch/fma/fma_small.zip,fma_small/116/116878.mp3,1202052,1194664,data/audio_batch/de623aa2d604a558f3bdfb060323149fe8b0643ea3b3900d58fe16ca2aabfce7.mp3
ai:Echoes/TTA/acestep/Tapes_Gumbel_acestep_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,Tapes - Gumbel,116878,17198,fma:116878,fma_artist:17198,fma_artist:17198,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Gumbel/8-bit_Love_Machine/Gumbel_-_8-bit_Love_Machine_EP_-_02_Tapes,http://creativecommons.org/licenses/by/4.0/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,acestep,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/acestep/Tapes_Gumbel_acestep_TTA_001.mp3,736557,732907,data/audio_batch/413f78ec86152e2e1d1fb270226e803cf7c5e25b46f154697fa303fbfeed0c64.mp3
ai:Echoes/TTA/audioldm/Tapes_Gumbel_audioldm_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,Tapes - Gumbel,116878,17198,fma:116878,fma_artist:17198,fma_artist:17198,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Gumbel/8-bit_Love_Machine/Gumbel_-_8-bit_Love_Machine_EP_-_02_Tapes,http://creativecommons.org/licenses/by/4.0/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,audioldm,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/audioldm/Tapes_Gumbel_audioldm_TTA_001.mp3,493677,407532,data/audio_batch/353d81c7978f16566af69d5988dd327e0f1ef0b7c488086f106ced79c6c090f1.mp3
ai:Echoes/TTA/musicgen/Tapes_Gumbel_musicgen_TTA_001.wav,ai,Echoes TTA dataset label,dataset_labels_v1,Tapes - Gumbel,116878,17198,fma:116878,fma_artist:17198,fma_artist:17198,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Gumbel/8-bit_Love_Machine/Gumbel_-_8-bit_Love_Machine_EP_-_02_Tapes,http://creativecommons.org/licenses/by/4.0/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,musicgen,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/musicgen/Tapes_Gumbel_musicgen_TTA_001.wav,1916204,1773940,data/audio_batch/5165a31e26a08ac0bd0d3e7b0738c3363c3d11f48a922bc88ca99b8284c8514e.wav
human:fma:91622,human,Historical FMA reference label,dataset_labels_v1,Scape from the city - Rolemusic,91622,10397,fma:91622,fma_artist:10397,fma_artist:10397,provisional_artist_id,True,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Rolemusic/gigs_n_contest/rolemusic_-_gigs_n_contest_-_04_Scape_from_the_city,http://creativecommons.org/licenses/by/3.0/,http://freemusicarchive.org/music/Rolemusic/gigs_n_contest/rolemusic_-_gigs_n_contest_-_04_Scape_from_the_city,http://creativecommons.org/licenses/by/3.0/,,,,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,fma_small,https://os.unil.cloud.switch.ch/fma/fma_small.zip,fma_small/091/091622.mp3,1200903,1116351,data/audio_batch/0cd671c6e2090daafd89eab9655df800aa20aa80204b665a9f6b144353fa8a81.mp3
ai:Echoes/TTA/acestep/Scape_from_the_city_Rolemusic_acestep_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,Scape from the city - Rolemusic,91622,10397,fma:91622,fma_artist:10397,fma_artist:10397,provisional_artist_id,True,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Rolemusic/gigs_n_contest/rolemusic_-_gigs_n_contest_-_04_Scape_from_the_city,http://creativecommons.org/licenses/by/3.0/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,acestep,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/acestep/Scape_from_the_city_Rolemusic_acestep_TTA_001.mp3,1276077,1269359,data/audio_batch/0a3e7f843bad37081ff52bcd1eba0c165b75e082fb1ac5591fe4bc7ea6d2b74c.mp3
