candidate_id,expected_label,label_basis,label_standard,reference,reference_track_id,artist_id,reference_group_id,artist_group_id,group_id,grouping_status,development_only,split,eligibility_status,review_reasons,reference_metadata_status,reference_review_reasons,reference_provenance_status,reference_source_url,reference_license_url,source_url,license_url,generator,generation_type,echoes_genre,echoes_revision,archive,archive_url,archive_member,file_bytes,compressed_bytes
human:fma:15769,human,Historical FMA reference label,dataset_labels_v1,The Factory - Multifaros,15769,4365,fma:15769,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Factory,http://creativecommons.org/licenses/by/3.0/us/,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Factory,http://creativecommons.org/licenses/by/3.0/us/,,,,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,fma_small,https://os.unil.cloud.switch.ch/fma/fma_small.zip,fma_small/015/015769.mp3,600952,594463
ai:Echoes/TTA/acestep/The_Factory_Multifaros_acestep_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,The Factory - Multifaros,15769,4365,fma:15769,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Factory,http://creativecommons.org/licenses/by/3.0/us/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,acestep,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/acestep/The_Factory_Multifaros_acestep_TTA_001.mp3,665133,660593
ai:Echoes/TTA/audioldm/The_Factory_Multifaros_audioldm_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,The Factory - Multifaros,15769,4365,fma:15769,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Factory,http://creativecommons.org/licenses/by/3.0/us/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,audioldm,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/audioldm/The_Factory_Multifaros_audioldm_TTA_001.mp3,493677,405707
ai:Echoes/TTA/diffrhythm/The_Factory_Multifaros_diffrhythm_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,The Factory - Multifaros,15769,4365,fma:15769,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Factory,http://creativecommons.org/licenses/by/3.0/us/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,diffrhythm,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/diffrhythm/The_Factory_Multifaros_diffrhythm_TTA_001.mp3,1776788,1768467
ai:Echoes/TTA/musicgen/The_Factory_Multifaros_musicgen_TTA_001.wav,ai,Echoes TTA dataset label,dataset_labels_v1,The Factory - Multifaros,15769,4365,fma:15769,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Factory,http://creativecommons.org/licenses/by/3.0/us/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,musicgen,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/musicgen/The_Factory_Multifaros_musicgen_TTA_001.wav,1916204,1716308
ai:Echoes/TTA/songgen/The_Factory_Multifaros_songgen_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,The Factory - Multifaros,15769,4365,fma:15769,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Factory,http://creativecommons.org/licenses/by/3.0/us/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,songgen,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/songgen/The_Factory_Multifaros_songgen_TTA_001.mp3,479277,398947
human:fma:15770,human,Historical FMA reference label,dataset_labels_v1,The Boss - Multifaros,15770,4365,fma:15770,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Boss,http://creativecommons.org/licenses/by/3.0/us/,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Boss,http://creativecommons.org/licenses/by/3.0/us/,,,,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,fma_small,https://os.unil.cloud.switch.ch/fma/fma_small.zip,fma_small/015/015770.mp3,600947,596163
ai:Echoes/TTA/acestep/The_Boss_Multifaros_acestep_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,The Boss - Multifaros,15770,4365,fma:15770,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Boss,http://creativecommons.org/licenses/by/3.0/us/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,acestep,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/acestep/The_Boss_Multifaros_acestep_TTA_001.mp3,1078317,1073300
ai:Echoes/TTA/audioldm/The_Boss_Multifaros_audioldm_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,The Boss - Multifaros,15770,4365,fma:15770,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Boss,http://creativecommons.org/licenses/by/3.0/us/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,audioldm,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/audioldm/The_Boss_Multifaros_audioldm_TTA_001.mp3,493677,413786
ai:Echoes/TTA/diffrhythm/The_Boss_Multifaros_diffrhythm_TTA_001.mp3,ai,Echoes TTA dataset label,dataset_labels_v1,The Boss - Multifaros,15770,4365,fma:15770,fma_artist:4365,fma_artist:4365,provisional_artist_id,False,unassigned,needs_review,audio_integrity_content_review_pending;duplicate_alias_review_pending;usage_review_pending,metadata_complete,,unverified,http://freemusicarchive.org/music/Multifaros/The_Factory/The_Boss,http://creativecommons.org/licenses/by/3.0/us/,https://huggingface.co/datasets/Octavian97/Echoes/tree/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,https://creativecommons.org/licenses/by-sa/4.0/,diffrhythm,TTA,Electronic,14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2,echoes,https://huggingface.co/datasets/Octavian97/Echoes/resolve/14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2/Echoes.zip,Echoes/TTA/diffrhythm/The_Boss_Multifaros_diffrhythm_TTA_001.mp3,1968631,1958320
